Segment #,SegInt,Habitat,Shoreline Characterization,#segments from nearest aquaculuture,Date (MM/DD/YYYY),Julian Day,Year,Census #,Time (24 hr. clock),"Tide (R, H, F, L)",ObservationOccuredDuring4hrTendingWindow(1-0),Total # Shorebirds in Flock,Total REKN in segment,REKN Occupancy,REKN Flock EDGE Location,REKN Flock EDGE Distance to RACKS,REKN Flock EDGE Distance to TENDING,Total RUTU in segment,RUTU Occupancy,RUTU Flock EDGE Location,RUTU Flock EDGE Distance to RACKS,RUTU Flock EDGE Distance to TENDING,Total SESA in segment,SESA Occupancy,SESA Flock EDGE Location,SESA Flock EDGE Distance to RACKS,SESA Flock EDGE Distance to TENDING,Total SAND in segment,SAND Occupancy,SAND Flock EDGE Location,SAND Flock EDGE Distance to RACKS,SAND Flock EDGE Distance to TENDING,Total DUNL in segment,DUNL Occupancy,Flock EDGE Location,DUNL Flock EDGE Distance to RACKS,DUNL Flock EDGE Distance to TENDING,#Gulls,#LAGU,#HERG,# GBBG,# RBGU,# LBBG,nearest rack tended? (1-0),#Planes,,
086-087,86,Tidal Flats,Bulkhead,8,6/2/2017,17153,2017,1,8:37,F,1,10,0,0,~,~,~,0,0,~,~,~,10,1,#,+,~,0,0,~,~,~,0,0,~,~,~,95,95,0,0,0,0,0,0,,
087-088,87,Tidal Flats,Dune,7,6/2/2017,17153,2017,1,8:38,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,32,32,0,0,0,0,0,0,,
088-089,88,Tidal Flats,Dune,6,6/2/2017,17153,2017,1,8:39,F,1,141,0,0,~,~,~,0,0,~,~,~,42,1,#,+,~,0,0,~,~,~,0,0,~,~,~,42,42,0,0,0,0,0,0,,
089-090,89,Tidal Flats,Dune,5,6/2/2017,17153,2017,1,8:40,F,1,141,0,0,~,~,~,0,0,~,~,~,36,1,#,+,~,0,0,~,~,~,0,0,~,~,~,22,22,0,0,0,0,0,0,,
090-091,90,Tidal Flats,Dune,4,6/2/2017,17153,2017,1,8:41,F,1,141,0,0,~,~,~,0,0,~,~,~,27,1,#,+,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
091-092,91,Tidal Flats,Dune,3,6/2/2017,17153,2017,1,8:42,F,1,141,0,0,~,~,~,0,0,~,~,~,36,1,#,+,~,0,0,~,~,~,0,0,~,~,~,5,5,0,0,0,0,0,0,,
092-093,92,Tidal Flats,Dune,2,6/2/2017,17153,2017,1,8:43,F,1,8,0,0,~,~,~,0,0,~,~,~,8,1,#,+,~,0,0,~,~,~,0,0,~,~,~,16,16,0,0,0,0,0,0,,
093-094,93,Tidal Flats,Dune,1,6/2/2017,17153,2017,1,8:44,F,1,19,0,0,~,~,~,0,0,~,~,~,19,1,F,3,~,0,0,~,~,~,0,0,~,~,~,9,9,0,0,0,0,0,0,,
094-095,94,Aquaculture,Dune,0,6/2/2017,17153,2017,1,8:45,F,1,142,0,0,~,~,~,0,0,~,~,~,75,1,F,1,~,0,0,~,~,~,0,0,~,~,~,42,42,0,0,0,0,0,0,,
095-096,95,Aquaculture,Dune,0,6/2/2017,17153,2017,1,8:46,F,1,142,0,0,~,~,~,0,0,~,~,~,67,1,F,1,~,0,0,~,~,~,0,0,~,~,~,105,105,0,0,0,0,0,0,,
096-097,96,Aquaculture,Dune,0,6/2/2017,17153,2017,1,8:48,F,1,20,0,0,~,~,~,0,0,~,~,~,20,1,F,2,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
097-098,97,Aquaculture,Bulkhead,0,6/2/2017,17153,2017,1,8:49,F,1,100,0,0,~,~,~,0,0,~,~,~,83,1,F,5,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
098-099,98,Aquaculture,Bulkhead,0,6/2/2017,17153,2017,1,8:50,F,1,100,0,0,~,~,~,0,0,~,~,~,9,1,F,5,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
099-100,99,Aquaculture,Bulkhead,0,6/2/2017,17153,2017,1,8:50,F,1,100,0,0,~,~,~,0,0,~,~,~,8,1,F,2,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
100-101,100,Aquaculture,Bulkhead,0,6/2/2017,17153,2017,1,8:54,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,1,0,1,0,0,0,0,0,,
101-102,101,Tidal Flats,Bulkhead,1,6/2/2017,17153,2017,1,8:55,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
102-103,102,Tidal Flats,Phragmites,2,6/2/2017,17153,2017,1,8:47,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
103-104,103,Tidal Flats,Phragmites,3,6/2/2017,17153,2017,1,8:47,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,3,3,0,0,0,0,0,0,,
104-105,104,Tidal Flats,Phragmites,4,6/2/2017,17153,2017,1,8:46,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
105-106,105,Tidal Flats,Phragmites,5,6/2/2017,17153,2017,1,8:45,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
106-107,106,Tidal Flats,Phragmites,5,6/2/2017,17153,2017,1,8:44,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
107-108,107,Tidal Flats,Dune,4,6/2/2017,17153,2017,1,8:44,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
108-109,108,Tidal Flats,Dune,3,6/2/2017,17153,2017,1,8:43,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
109-110,109,Tidal Flats,Phragmites,2,6/2/2017,17153,2017,1,8:42,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
110-111,110,Tidal Flats,Dune,1,6/2/2017,17153,2017,1,8:42,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
111-112,111,Creek,Marsh,1,6/2/2017,17153,2017,1,8:41,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,4,1,3,0,0,0,0,0,,
112-113,112,Aquaculture,Phragmites,0,6/2/2017,17153,2017,1,8:40,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,1,0,1,0,0,0,0,0,,
113-114,113,Aquaculture,Dune,0,6/2/2017,17153,2017,1,8:37,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
114-115,114,Aquaculture,Dune,0,6/2/2017,17153,2017,1,8:36,F,1,1,0,0,~,~,~,0,0,~,~,~,1,1,F,2,~,0,0,~,~,~,0,0,~,~,~,1,0,1,0,0,0,0,0,,
115-116,115,Aquaculture,Phragmites,0,6/2/2017,17153,2017,1,8:35,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
116-117,116,Tidal Flats,Phragmites,1,6/2/2017,17153,2017,1,8:34,F,1,4,0,0,~,~,~,0,0,~,~,~,4,1,F,2,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
134-135,134,Tidal Flats,Dune,2,6/2/2017,17153,2017,1,8:54,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,#,+,~,0,0,~,~,~,0,0,~,~,~,20,20,0,0,0,0,0,0,,
135-136,135,Tidal Flats,Phragmites,2,6/2/2017,17153,2017,1,8:52,F,1,47,0,0,~,~,~,0,0,~,~,~,47,1,F,+,~,0,0,~,~,~,0,0,~,~,~,11,11,0,0,0,0,0,0,,
136-137,136,Tidal Flats,Dune,1,6/2/2017,17153,2017,1,8:51,F,1,16,0,0,~,~,~,0,0,~,~,~,15,1,F,3,~,0,0,~,~,~,0,0,~,~,~,42,42,0,0,0,0,0,0,,
