dist_from_AQ	TS	nGulls	plane	segment	habitat	date	year	time	rekn_occupancy	tending	day	NSH	Ntide	Bulk	Dune	Phrag	Marsh	Creek	Woodland	FT	LT	RT
-0.1071269868721889	-0.1239645825661026	1.6902754940283637	-0.05434339650021394	86	Tidal Flats	2017-06-02	2017	08:37:00	0	1	153	1	1	2	1	1	1	1	1	2	1	1
-0.14733291397718853	-0.13663123599733146	0.4051783915910948	-0.05434339650021394	87	Tidal Flats	2017-06-02	2017	08:38:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
-0.18753884108218818	0.041968577382995545	0.6091620586446296	-0.05434339650021394	88	Tidal Flats	2017-06-02	2017	08:39:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
-0.2277447681871878	0.041968577382995545	0.20119472453756004	-0.05434339650021394	89	Tidal Flats	2017-06-02	2017	08:40:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
-0.26795069529218746	0.041968577382995545	-0.2475693429802164	-0.05434339650021394	90	Tidal Flats	2017-06-02	2017	08:41:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
-0.3081566223971871	0.041968577382995545	-0.14557750945344905	-0.05434339650021394	91	Tidal Flats	2017-06-02	2017	08:42:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
-0.34836254950218676	-0.12649791325234838	0.07880452430543919	-0.05434339650021394	92	Tidal Flats	2017-06-02	2017	08:43:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
-0.3885684766071864	-0.11256459447799662	-0.06398404263203514	-0.05434339650021394	93	Tidal Flats	2017-06-02	2017	08:44:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
-0.428774403712186	0.04323524272611843	0.6091620586446296	-0.05434339650021394	94	Aquaculture	2017-06-02	2017	08:45:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
-0.428774403712186	0.04323524272611843	1.8942591610818986	-0.05434339650021394	95	Aquaculture	2017-06-02	2017	08:46:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
-0.428774403712186	-0.11129792913487374	-0.2475693429802164	-0.05434339650021394	96	Aquaculture	2017-06-02	2017	08:48:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
-0.428774403712186	-0.009964701685042808	-0.2475693429802164	-0.05434339650021394	97	Aquaculture	2017-06-02	2017	08:49:00	0	1	153	1	1	2	1	1	1	1	1	2	1	1
-0.428774403712186	-0.009964701685042808	-0.2475693429802164	-0.05434339650021394	98	Aquaculture	2017-06-02	2017	08:50:00	0	1	153	1	1	2	1	1	1	1	1	2	1	1
-0.428774403712186	-0.009964701685042808	-0.2475693429802164	-0.05434339650021394	99	Aquaculture	2017-06-02	2017	08:50:00	0	1	153	1	1	2	1	1	1	1	1	2	1	1
-0.428774403712186	-0.13663123599733146	-0.22717097627486293	-0.05434339650021394	100	Aquaculture	2017-06-02	2017	08:54:00	0	1	153	1	1	2	1	1	1	1	1	2	1	1
-0.3885684766071864	-0.13663123599733146	-0.2475693429802164	-0.05434339650021394	101	Tidal Flats	2017-06-02	2017	08:55:00	0	1	153	1	1	2	1	1	1	1	1	2	1	1
-0.34836254950218676	-0.13663123599733146	-0.2475693429802164	-0.05434339650021394	102	Tidal Flats	2017-06-02	2017	08:47:00	0	1	153	5	1	1	1	2	1	1	1	2	1	1
-0.3081566223971871	-0.13663123599733146	-0.186374242864156	-0.05434339650021394	103	Tidal Flats	2017-06-02	2017	08:47:00	0	1	153	5	1	1	1	2	1	1	1	2	1	1
-0.26795069529218746	-0.13663123599733146	-0.2475693429802164	-0.05434339650021394	104	Tidal Flats	2017-06-02	2017	08:46:00	0	1	153	5	1	1	1	2	1	1	1	2	1	1
-0.2277447681871878	-0.13663123599733146	-0.2475693429802164	-0.05434339650021394	105	Tidal Flats	2017-06-02	2017	08:45:00	0	1	153	5	1	1	1	2	1	1	1	2	1	1
-0.2277447681871878	-0.13663123599733146	-0.2475693429802164	-0.05434339650021394	106	Tidal Flats	2017-06-02	2017	08:44:00	0	1	153	5	1	1	1	2	1	1	1	2	1	1
-0.26795069529218746	-0.13663123599733146	-0.2475693429802164	-0.05434339650021394	107	Tidal Flats	2017-06-02	2017	08:44:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
-0.3081566223971871	-0.13663123599733146	-0.2475693429802164	-0.05434339650021394	108	Tidal Flats	2017-06-02	2017	08:43:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
-0.34836254950218676	-0.13663123599733146	-0.2475693429802164	-0.05434339650021394	109	Tidal Flats	2017-06-02	2017	08:42:00	0	1	153	5	1	1	1	2	1	1	1	2	1	1
-0.3885684766071864	-0.13663123599733146	-0.2475693429802164	-0.05434339650021394	110	Tidal Flats	2017-06-02	2017	08:42:00	0	1	153	3	1	1	2	1	1	1	1	2	1	1
